10 fm^2			26 fm^2			6 fm^2			40 fm^2	
Mass	Baryons		Mass 	Baryons		Mass	Baryons		Mass 	Baryons
1.823610619	1.87639225		2.003929208	2.077825545		1.68815137	1.728490013		2.054827176	2.135275925
1.826996996	1.891364615		2.005159773	2.08980434		1.692961346	1.745519234		2.055400715	2.146327344
1.828974512	1.904693157		2.005010083	2.100333223		1.696542616	1.760773949		2.05454798	2.156025093
1.829341344	1.915915827		2.003130037	2.109057616		1.698596127	1.773824237		2.052017164	2.164009527
1.827738008	1.924535557		1.99917992	2.115530229		1.69869731	1.784151113		2.047445396	2.169827035
1.823648315	1.929954947		1.992758031	2.119178728		1.696430326	1.791092778		2.040324523	2.172991937
1.816475521	1.931462714		1.983221949	2.119338219		1.691375874	1.793828738		2.030147163	2.172800599
1.805714074	1.92806077		1.969898057	2.115158295		1.68269777	1.791449848		2.016167293	2.168470121
1.799622054	1.943444522		1.956993968	2.11797119		1.681059948	1.815897534		2.001194905	2.167534885
1.778916903	1.927275721		1.933492729	2.101936519		1.663025345	1.800280958		1.976999279	2.151645757
1.751222962	1.902092212		1.90288981	2.077571603		1.63827689	1.775196626		1.945715633	2.127626173
1.725132838	1.892085186		1.869057827	2.055746529		1.617798579	1.774168093		1.909560905	2.102392591
1.688997187	1.869076319		1.824581354	2.021146304		1.587796252	1.760312311		1.862653222	2.064460142
1.629087682	1.802890365		1.760940625	1.957475556		1.531930715	1.69304522		1.798155303	2.001593583
1.563896971	1.742804846		1.686408537	1.886541972		1.473740003	1.641575934		1.720871715	1.927565713
1.478874877	1.657434815		1.591311377	1.79062335		1.396263596	1.564409768		1.622795497	1.828477779
1.369863237	1.541969655		1.471457665	1.664568941		1.294878264	1.456449376		1.499570272	1.698964412
1.244272042	1.41372117		1.328302668	1.513161222		1.179959527	1.344325966		1.350733355	1.540415062
1.078915331	1.227243028		1.149574645	1.314901479		1.020198087	1.160792277		1.166856583	1.336949588
0.900478329	1.029335644		0.959337926	1.111966406		0.847192345	0.968854045		0.959338342	1.111544387
0.696635401	0.811176737		0.696641479	0.811711912		0.696529894	0.811414426		0.696635401	0.811176737
0.432435303	0.505644022		0.432431942	0.50631808		0.432435303	0.506052099		0.432435303	0.505644022
0.210058632	0.246355266		0.210027042	0.2472983		0.210058632	0.246950959		0.210058632	0.246355266
0.074585789	0.087411712		0.074323846	0.089322451		0.074585789	0.088815661		0.074585789	0.087411712
0.046691019	0.05365206		0.044114853	0.058943291		0.046691019	0.059461562		0.046691019	0.05365206
